Aruba,103187,103795,104341,104822,105264
Afghanistan,31731688,32758020,33736494,34656032,35530081
Angola,25998340,26920466,27859305,28813463,29784193
Albania,2895092,2889104,2880703,2876101,2873457
Andorra,80788,79223,78014,77281,76965
United Arab Emirates,9006263,9070867,9154302,9269612,9400145
Argentina,42539925,42981515,43417765,43847430,44271041
Armenia,2893509,2906220,2916950,2924816,2930450
American Samoa,55307,55437,55537,55599,55641
Antigua and Barbuda,97824,98875,99923,100963,102012
Australia,23145901,23504138,23850784,24210809,24598933
Austria,8479823,8546356,8642699,8736668,8809212
Azerbaijan,9416801,9535079,9649341,9757812,9862429
Burundi,9600186,9891790,10199270,10524117,10864245
Belgium,11182817,11209057,11274196,11331422,11372068
Benin,10004451,10286712,10575952,10872298,11175692
Burkina Faso,17072723,17585977,18110624,18646433,19193382
Bangladesh,157571292,159405279,161200886,162951560,164669751
Bulgaria,7265115,7223938,7177991,7127822,7075991
Bahrain,1315411,1336397,1371855,1425171,1492584
Bahamas,377240,382169,386838,391232,395361
Bosnia and Herzegovina,3604999,3566002,3535961,3516816,3507017
Belarus,9465997,9474511,9489616,9501534,9507875
Belize,344181,351694,359288,366954,374681
Bermuda,65001,65139,65239,65341,65441
Bolivia,10400264,10562159,10724705,10887882,11051600
Brazil,202408632,204213133,205962108,207652865,209288278
Barbados,282509,283385,284217,284996,285719
Brunei Darussalam,405716,411704,417542,423196,428697
Bhutan,764961,776448,787386,797765,807610
Botswana,2128507,2168573,2209197,2250260,2291661
Central African Republic,4499653,4515392,4546100,4594621,4659080
Canada,35152370,35535348,35832513,36264604,36708083
Switzerland,8089346,8188649,8282396,8373338,8466017
Channel Islands,162180,162969,163758,164541,165314
Chile,17462982,17613798,17762681,17909754,18054726
China,1357380000,1364270000,1371220000,1378665000,1386395000
Cote d'Ivoire,21966312,22531350,23108472,23695919,24294750
Cameroon,21655715,22239904,22834522,23439189,24053727
Congo_ Dem. Rep.,71316033,73722860,76196619,78736153,81339988
Congo_ Rep.,4751393,4871101,4995648,5125821,5260750
Colombia,47342981,47791911,48228697,48653419,49065615
Comoros,741500,759385,777424,795601,813912
Cabo Verde,520106,526437,532913,539560,546388
Costa Rica,4706401,4757575,4807852,4857274,4905769
Cuba,11412167,11439767,11461432,11475982,11484636
Curacao,153822,155909,157980,159663,161014
Cayman Islands,58371,59172,59963,60765,61559
Cyprus,1143896,1152309,1160985,1170125,1179551
Czech Republic,10514272,10525347,10546059,10566332,10591323
Germany,80645605,80982500,81686611,82348669,82695000
Djibouti,896688,912164,927414,942333,956985
Dominica,72400,72778,73162,73543,73925
Denmark,5614932,5643475,5683483,5728010,5769603
Dominican Republic,10281296,10405844,10528394,10648791,10766998
Algeria,38338562,39113313,39871528,40606052,41318142
Ecuador,15661547,15903112,16144368,16385068,16624858
Euro area,337325526,338466271,339533474,340617355,341465149
Spain,46620045,46480882,46444832,46484062,46572028
Estonia,1317997,1314545,1315407,1315790,1315480
Ethiopia,94887724,97366774,99873033,102403196,104957438
Finland,5438972,5461512,5479531,5495303,5511303
Fiji,879715,885806,892149,898760,905502
France,65998660,66316092,66593366,66859768,67118648
Faroe Islands,48747,48842,48965,49117,49290
Micronesia_ Fed. Sts.,103702,104015,104433,104937,105544
Gabon,1817271,1875713,1930175,1979786,2025137
United Kingdom,64128226,64613160,65128861,65595565,66022273
Georgia,3776000,3727000,3717100,3719300,3717100
Ghana,26346251,26962563,27582821,28206728,28833629
Gibraltar,33831,34038,34228,34408,34571
Guinea,11536615,11805509,12091533,12395924,12717176
Gambia_ The,1859324,1917852,1977590,2038501,2100568
Guinea-Bissau,1681495,1725744,1770526,1815698,1861283
Equatorial Guinea,1083746,1129424,1175389,1221490,1267689
Greece,10965211,10892413,10820883,10775971,10760421
Grenada,105909,106360,106823,107317,107825
Greenland,56483,56295,56114,56186,56171
Guatemala,15596214,15923559,16252429,16582469,16913503
Guam,160375,160967,161797,162896,164229
Guyana,758081,763393,768514,773303,777859
High income,1219556921,1227211897,1234714041,1242137612,1249066228
Hong Kong SAR_ China,7178900,7229500,7291300,7336600,7391700
Honduras,8657785,8809216,8960829,9112867,9265067
Croatia,4255689,4238389,4203604,4174349,4125700
Haiti,10431776,10572466,10711061,10847334,10981229
